personal_code,product_number,score
2008-03-04-0007,5100133759460212,5
2008-03-04-0007,5100132678004333,4
2008-03-04-0007,5100131306731994,1
2008-03-04-0007,5100130003850628,8
2003-10-21-0034,5100176059539193,7
2003-10-21-0034,5100174290682393,6
2003-10-21-0034,5100174100138222,4
2003-10-21-0034,5100173919196082,4
2003-10-21-0034,5100172538567152,8
2003-10-21-0034,5100170292589040,6
2003-10-21-0034,5100149528096608,6
2003-10-21-0034,5100147108134542,6
2003-10-21-0034,5100145287738802,10
2003-10-21-0034,5100143716855230,8
2003-10-21-0034,5100143509026924,4
2003-10-21-0034,5100141444482194,3
2003-10-21-0034,5100141101316677,2
2003-10-21-0034,5100136474971488,4
2003-10-21-0034,5100135736184724,10
2003-10-21-0034,5100134495803228,10
2003-10-21-0034,5100134458786071,9
2003-10-21-0034,5100133759460212,1
2003-10-21-0034,5100132678004333,9
2003-10-21-0034,5100131591657011,8
2003-10-21-0034,5100130003850628,3
1994-08-26-0029,5100178236803880,1
1994-08-26-0029,5100175854119409,4
1994-08-26-0029,5100175497684454,8
1994-08-26-0029,5100174290682393,10
1994-08-26-0029,5100174100138222,7
1994-08-26-0029,5100173919196082,10
1994-08-26-0029,5100172737751284,3
1994-08-26-0029,5100172538567152,7
1994-08-26-0029,5100170292589040,7
1994-08-26-0029,5100143509026924,10
1994-08-26-0029,5100141444482194,3
1994-08-26-0029,5100140553753288,5
1994-08-26-0029,5100139171504008,10
1994-08-26-0029,5100137483647388,1
1994-08-26-0029,5100136474971488,10
1994-08-26-0029,5100136435344635,7
1994-08-26-0029,5100136035476142,5
1994-08-26-0029,5100135736184724,7
1994-08-26-0029,5100133759460212,1
1994-08-26-0029,5100132678004333,6
1983-07-24-0033,5100177720106768,5
1983-07-24-0033,5100176843773819,4
1983-07-24-0033,5100174290682393,3
1983-07-24-0033,5100149547934623,10
1983-07-24-0033,5100149528096608,6
1983-07-24-0033,5100147108134542,2
1983-07-24-0033,5100145287738802,6
1983-07-24-0033,5100144154178960,0
1983-07-24-0033,5100143342926116,10
1983-07-24-0033,5100141444482194,3
1983-07-24-0033,5100140713963710,4
1983-07-24-0033,5100136435344635,4
1983-07-24-0033,5100136035476142,0
1983-07-24-0033,5100135736184724,5
1983-07-24-0033,5100134495803228,0
1983-07-24-0033,5100133759460212,5
1983-07-24-0033,5100132678004333,0
1983-07-24-0033,5100131591657011,8
1982-03-23-0001,5100179457607877,8
1982-03-23-0001,5100177720106768,6
1982-03-23-0001,5100175854119409,7
1982-03-23-0001,5100175497684454,6
1982-03-23-0001,5100173919196082,4
1982-03-23-0001,5100172538567152,4
1982-03-23-0001,5100170292589040,2
1982-03-23-0001,5100149528096608,4
1982-03-23-0001,5100148070294587,4
1982-03-23-0001,5100143716855230,4
1982-03-23-0001,5100143342926116,7
1982-03-23-0001,5100141444482194,7
1982-03-23-0001,5100140713963710,4
1982-03-23-0001,5100140553753288,2
1982-03-23-0001,5100139171504008,10
1982-03-23-0001,5100137483647388,0
1982-03-23-0001,5100134495803228,10
1982-03-23-0001,5100131306731994,10
1982-03-23-0001,5100130003850628,9
1982-02-08-0026,5100178236803880,7
1982-02-08-0026,5100177720106768,10
1982-02-08-0026,5100175854119409,2
1982-02-08-0026,5100174290682393,4
1982-02-08-0026,5100172538567152,1
1982-02-08-0026,5100149528096608,9
1982-02-08-0026,5100147108134542,2
1982-02-08-0026,5100145287738802,10
1982-02-08-0026,5100144154178960,2
1982-02-08-0026,5100141101316677,1
1982-02-08-0026,5100140553753288,8
1982-02-08-0026,5100140102378546,0
1982-02-08-0026,5100137483647388,1
1982-02-08-0026,5100136035476142,0
1982-02-08-0026,5100134495803228,10
1982-02-08-0026,5100133759460212,8
1982-02-08-0026,5100130003850628,7
1980-12-09-0013,5100178236803880,7
1980-12-09-0013,5100176059539193,3
1980-12-09-0013,5100175497684454,1
1980-12-09-0013,5100174290682393,7
1980-12-09-0013,5100173919196082,5
1980-12-09-0013,5100172737751284,4
1980-12-09-0013,5100172538567152,3
1980-12-09-0013,5100149528096608,3
1980-12-09-0013,5100148070294587,8
1980-12-09-0013,5100143509026924,4
1980-12-09-0013,5100141101316677,4
1980-12-09-0013,5100140553753288,10
1980-12-09-0013,5100139171504008,5
1980-12-09-0013,5100137483647388,5
1980-12-09-0013,5100136435344635,2
1980-12-09-0013,5100135736184724,8
1980-12-09-0013,5100133454026508,10
1980-12-09-0013,5100132678004333,8
1980-12-09-0013,5100131306731994,4
1979-02-12-0010,5100179457607877,8
1979-02-12-0010,5100177720106768,0
1979-02-12-0010,5100176059539193,7
1979-02-12-0010,5100172737751284,3
1979-02-12-0010,5100170292589040,10
1979-02-12-0010,5100149547934623,2
1979-02-12-0010,5100148070294587,4
1979-02-12-0010,5100145287738802,3
1979-02-12-0010,5100144154178960,2
1979-02-12-0010,5100140713963710,3
1979-02-12-0010,5100140102378546,3
1979-02-12-0010,5100137483647388,10
1979-02-12-0010,5100136435344635,5
1979-02-12-0010,5100134495803228,1
1979-02-12-0010,5100134458786071,7
1979-02-12-0010,5100133759460212,7
1979-02-12-0010,5100133454026508,6
1979-02-12-0010,5100132678004333,9
1979-02-12-0010,5100131306731994,4
1975-04-14-0036,5100179457607877,4
1975-04-14-0036,5100178236803880,1
1975-04-14-0036,5100177720106768,7
1975-04-14-0036,5100176843773819,4
1975-04-14-0036,5100175854119409,3
1975-04-14-0036,5100174100138222,4
1975-04-14-0036,5100170292589040,10
1975-04-14-0036,5100149547934623,1
1975-04-14-0036,5100143509026924,9
1975-04-14-0036,5100141444482194,7
1975-04-14-0036,5100140553753288,3
1975-04-14-0036,5100139171504008,6
1975-04-14-0036,5100136474971488,10
1975-04-14-0036,5100136435344635,7
1975-04-14-0036,5100134820916307,3
1975-04-14-0036,5100134495803228,8
1975-04-14-0036,5100133759460212,8
1975-04-14-0036,5100133454026508,5
1975-04-14-0036,5100132678004333,10
1975-04-14-0036,5100131591657011,3
1975-04-14-0036,5100131306731994,4
1973-08-07-0024,5100179457607877,10
1973-08-07-0024,5100177720106768,4
1973-08-07-0024,5100176843773819,3
1973-08-07-0024,5100175854119409,5
1973-08-07-0024,5100175497684454,8
1973-08-07-0024,5100174290682393,4
1973-08-07-0024,5100149528096608,4
1973-08-07-0024,5100148070294587,8
1973-08-07-0024,5100147108134542,4
1973-08-07-0024,5100144154178960,4
1973-08-07-0024,5100143716855230,10
1973-08-07-0024,5100143509026924,0
1973-08-07-0024,5100140713963710,8
1973-08-07-0024,5100140553753288,0
1973-08-07-0024,5100140102378546,2
1973-08-07-0024,5100139171504008,5
1973-08-07-0024,5100136474971488,10
1973-08-07-0024,5100135736184724,4
1973-08-07-0024,5100133759460212,10
1973-08-07-0024,5100133454026508,10
1973-08-07-0024,5100131591657011,1
1973-08-07-0024,5100131306731994,8
1972-06-29-0039,5100179457607877,1
1972-06-29-0039,5100176843773819,7
1972-06-29-0039,5100176059539193,10
1972-06-29-0039,5100175854119409,7
1972-06-29-0039,5100175497684454,2
1972-06-29-0039,5100174100138222,6
1972-06-29-0039,5100173919196082,8
1972-06-29-0039,5100172737751284,2
1972-06-29-0039,5100172538567152,9
1972-06-29-0039,5100149547934623,1
1972-06-29-0039,5100143716855230,6
1972-06-29-0039,5100141444482194,6
1972-06-29-0039,5100140102378546,7
1972-06-29-0039,5100139171504008,4
1972-06-29-0039,5100136474971488,5
1972-06-29-0039,5100134495803228,8
1972-06-29-0039,5100134458786071,3
1972-06-29-0039,5100133759460212,4
1972-06-29-0039,5100131591657011,6
1971-08-15-0025,5100179457607877,8
1971-08-15-0025,5100176843773819,7
1971-08-15-0025,5100176059539193,7
1971-08-15-0025,5100174290682393,5
1971-08-15-0025,5100172737751284,1
1971-08-15-0025,5100170292589040,4
1971-08-15-0025,5100149528096608,10
1971-08-15-0025,5100145287738802,5
1971-08-15-0025,5100141444482194,3
1971-08-15-0025,5100139171504008,7
1971-08-15-0025,5100137483647388,8
1971-08-15-0025,5100136435344635,8
1971-08-15-0025,5100136035476142,5
1971-08-15-0025,5100135736184724,7
1971-08-15-0025,5100133759460212,10
1971-08-15-0025,5100131591657011,10
1971-08-15-0025,5100131306731994,6
1970-11-08-0020,5100179457607877,10
1970-11-08-0020,5100178236803880,4
1970-11-08-0020,5100176843773819,7
1970-11-08-0020,5100175497684454,7
1970-11-08-0020,5100173919196082,5
1970-11-08-0020,5100149528096608,4
1970-11-08-0020,5100144154178960,0
1970-11-08-0020,5100143509026924,4
1970-11-08-0020,5100141444482194,7
1970-11-08-0020,5100141101316677,8
1970-11-08-0020,5100140713963710,6
1970-11-08-0020,5100140102378546,3
1970-11-08-0020,5100136474971488,5
1970-11-08-0020,5100136435344635,5
1970-11-08-0020,5100135736184724,1
1970-11-08-0020,5100134458786071,1
1970-11-08-0020,5100133759460212,4
1970-11-08-0020,5100132678004333,8
1970-11-08-0020,5100131306731994,10
1963-09-28-0015,5100179457607877,4
1963-09-28-0015,5100177720106768,10
1963-09-28-0015,5100176059539193,5
1963-09-28-0015,5100175854119409,7
1963-09-28-0015,5100175497684454,2
1963-09-28-0015,5100172737751284,3
1963-09-28-0015,5100149547934623,7
1963-09-28-0015,5100149528096608,4
1963-09-28-0015,5100147108134542,7
1963-09-28-0015,5100145287738802,9
1963-09-28-0015,5100141444482194,8
1963-09-28-0015,5100140102378546,10
1963-09-28-0015,5100136435344635,4
1963-09-28-0015,5100136035476142,6
1963-09-28-0015,5100134495803228,8
1963-09-28-0015,5100134458786071,6
1963-09-28-0015,5100133759460212,6
1963-09-28-0015,5100131306731994,6
1963-09-28-0015,5100130003850628,8
1960-06-29-0018,5100176843773819,1
1960-06-29-0018,5100174290682393,10
1960-06-29-0018,5100174100138222,8
1960-06-29-0018,5100172538567152,0
1960-06-29-0018,5100149528096608,8
1960-06-29-0018,5100148070294587,4
1960-06-29-0018,5100147108134542,10
1960-06-29-0018,5100145287738802,4
1960-06-29-0018,5100143716855230,0
1960-06-29-0018,5100143509026924,1
1960-06-29-0018,5100141444482194,6
1960-06-29-0018,5100139171504008,10
1960-06-29-0018,5100136474971488,10
1960-06-29-0018,5100136435344635,4
1960-06-29-0018,5100133454026508,5
1960-06-29-0018,5100132678004333,9
1947-02-05-0012,5100178236803880,9
1947-02-05-0012,5100176059539193,7
1947-02-05-0012,5100175854119409,8
1947-02-05-0012,5100174100138222,8
1947-02-05-0012,5100172538567152,8
1947-02-05-0012,5100170292589040,8
1947-02-05-0012,5100148070294587,1
1947-02-05-0012,5100147108134542,1
1947-02-05-0012,5100145287738802,2
1947-02-05-0012,5100143716855230,10
1947-02-05-0012,5100143342926116,6
1947-02-05-0012,5100140102378546,8
1947-02-05-0012,5100139171504008,7
1947-02-05-0012,5100136474971488,7
1947-02-05-0012,5100136435344635,3
1947-02-05-0012,5100136035476142,4
1947-02-05-0012,5100134458786071,0
1947-02-05-0012,5100133454026508,4
1947-02-05-0012,5100131306731994,1
1947-02-05-0012,5100130003850628,3
1940-06-24-0030,5100177720106768,5
1940-06-24-0030,5100176843773819,9
1940-06-24-0030,5100175497684454,3
1940-06-24-0030,5100174290682393,4
1940-06-24-0030,5100174100138222,7
1940-06-24-0030,5100172737751284,8
1940-06-24-0030,5100170292589040,10
1940-06-24-0030,5100149547934623,8
1940-06-24-0030,5100149528096608,4
1940-06-24-0030,5100148070294587,10
1940-06-24-0030,5100145287738802,7
1940-06-24-0030,5100143716855230,1
1940-06-24-0030,5100140553753288,5
1940-06-24-0030,5100140102378546,7
1940-06-24-0030,5100136474971488,10
1940-06-24-0030,5100136035476142,8
1940-06-24-0030,5100135736184724,6
1940-06-24-0030,5100134495803228,0
1940-06-24-0030,5100134458786071,0
1940-06-24-0030,5100133759460212,10
1940-06-24-0030,5100133454026508,0
1940-06-24-0030,5100132678004333,1
1940-06-24-0030,5100130003850628,9
1940-05-24-0002,5100177720106768,8
1940-05-24-0002,5100175497684454,0
1940-05-24-0002,5100174290682393,7
1940-05-24-0002,5100173919196082,4
1940-05-24-0002,5100170292589040,8
1940-05-24-0002,5100149547934623,4
1940-05-24-0002,5100148070294587,2
1940-05-24-0002,5100147108134542,0
1940-05-24-0002,5100143509026924,6
1940-05-24-0002,5100140713963710,1
1940-05-24-0002,5100140553753288,8
1940-05-24-0002,5100140102378546,10
1940-05-24-0002,5100139171504008,7
1940-05-24-0002,5100137483647388,5
1940-05-24-0002,5100136474971488,3
1940-05-24-0002,5100136435344635,4
1940-05-24-0002,5100136035476142,7
1940-05-24-0002,5100135736184724,4
1940-05-24-0002,5100132678004333,4
1940-05-24-0002,5100130003850628,10
1939-04-12-0022,5100179457607877,0
1939-04-12-0022,5100177720106768,5
1939-04-12-0022,5100176843773819,4
1939-04-12-0022,5100176059539193,0
1939-04-12-0022,5100175854119409,2
1939-04-12-0022,5100174290682393,4
1939-04-12-0022,5100149547934623,5
1939-04-12-0022,5100149528096608,3
1939-04-12-0022,5100145287738802,10
1939-04-12-0022,5100144154178960,0
1939-04-12-0022,5100143716855230,4
1939-04-12-0022,5100143342926116,6
1939-04-12-0022,5100141101316677,5
1939-04-12-0022,5100140102378546,8
1939-04-12-0022,5100136435344635,10
1939-04-12-0022,5100136035476142,9
1939-04-12-0022,5100135736184724,10
1939-04-12-0022,5100134820916307,5
1939-04-12-0022,5100134495803228,5
1938-07-25-0014,5100179457607877,9
1938-07-25-0014,5100178236803880,1
1938-07-25-0014,5100175854119409,1
1938-07-25-0014,5100172737751284,9
1938-07-25-0014,5100149528096608,8
1938-07-25-0014,5100147108134542,5
1938-07-25-0014,5100145287738802,5
1938-07-25-0014,5100144154178960,6
1938-07-25-0014,5100143716855230,5
1938-07-25-0014,5100143509026924,5
1938-07-25-0014,5100141444482194,5
1938-07-25-0014,5100140553753288,10
1938-07-25-0014,5100136474971488,3
1938-07-25-0014,5100136435344635,5
1938-07-25-0014,5100134820916307,3
1938-07-25-0014,5100134495803228,9
1938-07-25-0014,5100134458786071,1
1938-07-25-0014,5100131591657011,10
1938-07-25-0014,5100130003850628,4
1938-01-22-0028,5100179457607877,3
1938-01-22-0028,5100178236803880,5
1938-01-22-0028,5100177720106768,4
1938-01-22-0028,5100176843773819,0
1938-01-22-0028,5100175854119409,1
1938-01-22-0028,5100175497684454,7
1938-01-22-0028,5100174290682393,3
1938-01-22-0028,5100174100138222,5
1938-01-22-0028,5100172737751284,10
1938-01-22-0028,5100172538567152,5
1938-01-22-0028,5100149547934623,9
1938-01-22-0028,5100143342926116,3
1938-01-22-0028,5100141444482194,4
1938-01-22-0028,5100139171504008,0
1938-01-22-0028,5100137483647388,8
1938-01-22-0028,5100136474971488,3
1938-01-22-0028,5100133759460212,8
1938-01-22-0028,5100132678004333,0
1938-01-22-0028,5100131591657011,4
1932-05-25-0021,5100179457607877,7
1932-05-25-0021,5100178236803880,3
1932-05-25-0021,5100177720106768,10
1932-05-25-0021,5100176059539193,2
1932-05-25-0021,5100175854119409,8
1932-05-25-0021,5100172737751284,8
1932-05-25-0021,5100172538567152,10
1932-05-25-0021,5100149547934623,4
1932-05-25-0021,5100144154178960,3
1932-05-25-0021,5100143716855230,2
1932-05-25-0021,5100140713963710,10
1932-05-25-0021,5100139171504008,7
1932-05-25-0021,5100137483647388,3
1932-05-25-0021,5100136435344635,2
1932-05-25-0021,5100134820916307,7
1932-05-25-0021,5100134495803228,5
1932-05-25-0021,5100134458786071,8
1932-05-25-0021,5100132678004333,8
1932-05-25-0021,5100131591657011,5
1932-05-25-0021,5100131306731994,8
1931-05-14-0004,5100179457607877,3
1931-05-14-0004,5100178236803880,5
1931-05-14-0004,5100177720106768,5
1931-05-14-0004,5100176843773819,9
1931-05-14-0004,5100175497684454,7
1931-05-14-0004,5100174100138222,5
1931-05-14-0004,5100172737751284,7
1931-05-14-0004,5100148070294587,4
1931-05-14-0004,5100143509026924,9
1931-05-14-0004,5100140553753288,0
1931-05-14-0004,5100137483647388,8
1931-05-14-0004,5100136035476142,7
1931-05-14-0004,5100134495803228,1
1931-05-14-0004,5100133759460212,6
1931-05-14-0004,5100133454026508,3
1931-05-14-0004,5100132678004333,4
1931-05-14-0004,5100131306731994,7
1930-01-10-0037,5100179457607877,10
1930-01-10-0037,5100178236803880,7
1930-01-10-0037,5100177720106768,6
1930-01-10-0037,5100175497684454,8
1930-01-10-0037,5100174290682393,5
1930-01-10-0037,5100174100138222,1
1930-01-10-0037,5100170292589040,8
1930-01-10-0037,5100149547934623,4
1930-01-10-0037,5100149528096608,10
1930-01-10-0037,5100148070294587,6
1930-01-10-0037,5100145287738802,7
1930-01-10-0037,5100143716855230,8
1930-01-10-0037,5100143509026924,3
1930-01-10-0037,5100140102378546,1
1930-01-10-0037,5100136474971488,6
1930-01-10-0037,5100136435344635,1
1930-01-10-0037,5100133454026508,9
1930-01-10-0037,5100132678004333,8
1930-01-10-0037,5100131591657011,8
1925-01-16-0005,5100178236803880,7
1925-01-16-0005,5100177720106768,0
1925-01-16-0005,5100176059539193,5
1925-01-16-0005,5100175497684454,4
1925-01-16-0005,5100174290682393,8
1925-01-16-0005,5100149547934623,8
1925-01-16-0005,5100148070294587,4
1925-01-16-0005,5100144154178960,6
1925-01-16-0005,5100143509026924,3
1925-01-16-0005,5100143342926116,7
1925-01-16-0005,5100141444482194,2
1925-01-16-0005,5100140553753288,6
1925-01-16-0005,5100139171504008,8
1925-01-16-0005,5100136435344635,4
1925-01-16-0005,5100134495803228,10
1925-01-16-0005,5100133454026508,1
1925-01-16-0005,5100132678004333,10
1925-01-16-0005,5100130003850628,8
1921-11-13-0023,5100179457607877,10
1921-11-13-0023,5100177720106768,10
1921-11-13-0023,5100176843773819,4
1921-11-13-0023,5100176059539193,8
1921-11-13-0023,5100174290682393,7
1921-11-13-0023,5100174100138222,2
1921-11-13-0023,5100172737751284,8
1921-11-13-0023,5100172538567152,6
1921-11-13-0023,5100149547934623,3
1921-11-13-0023,5100145287738802,2
1921-11-13-0023,5100141101316677,0
1921-11-13-0023,5100140713963710,7
1921-11-13-0023,5100139171504008,4
1921-11-13-0023,5100137483647388,4
1921-11-13-0023,5100136435344635,10
1921-11-13-0023,5100131591657011,1
1921-11-13-0023,5100131306731994,8
1921-11-13-0023,5100130003850628,5
1921-02-09-0011,5100179457607877,1
1921-02-09-0011,5100178236803880,6
1921-02-09-0011,5100176843773819,4
1921-02-09-0011,5100174290682393,7
1921-02-09-0011,5100173919196082,9
1921-02-09-0011,5100149528096608,3
1921-02-09-0011,5100143509026924,5
1921-02-09-0011,5100141444482194,2
1921-02-09-0011,5100140713963710,1
1921-02-09-0011,5100140553753288,5
1921-02-09-0011,5100140102378546,2
1921-02-09-0011,5100136474971488,4
1921-02-09-0011,5100136435344635,7
1921-02-09-0011,5100136035476142,1
1921-02-09-0011,5100135736184724,10
1921-02-09-0011,5100134820916307,7
1921-02-09-0011,5100133759460212,0
1921-02-09-0011,5100133454026508,4
1921-02-09-0011,5100130003850628,0
1920-08-20-0016,5100177720106768,4
1920-08-20-0016,5100176843773819,4
1920-08-20-0016,5100175497684454,10
1920-08-20-0016,5100174100138222,4
1920-08-20-0016,5100173919196082,10
1920-08-20-0016,5100172737751284,7
1920-08-20-0016,5100149547934623,8
1920-08-20-0016,5100149528096608,3
1920-08-20-0016,5100148070294587,1
1920-08-20-0016,5100147108134542,1
1920-08-20-0016,5100144154178960,6
1920-08-20-0016,5100143342926116,2
1920-08-20-0016,5100140102378546,10
1920-08-20-0016,5100139171504008,9
1920-08-20-0016,5100137483647388,0
1920-08-20-0016,5100136435344635,4
1920-08-20-0016,5100136035476142,9
1920-08-20-0016,5100134495803228,5
1920-08-20-0016,5100133759460212,6
1920-08-20-0016,5100131306731994,6
1910-09-27-7834,5100179457607877,0
1910-09-27-7834,5100178236803880,9
1910-09-27-7834,5100176059539193,5
1910-09-27-7834,5100174100138222,10
1910-09-27-7834,5100172737751284,4
1910-09-27-7834,5100172538567152,1
1910-09-27-7834,5100149528096608,8
1910-09-27-7834,5100147108134542,8
1910-09-27-7834,5100145287738802,4
1910-09-27-7834,5100144154178960,5
1910-09-27-7834,5100141444482194,4
1910-09-27-7834,5100141101316677,8
1910-09-27-7834,5100140713963710,4
1910-09-27-7834,5100140102378546,3
1910-09-27-7834,5100137483647388,1
1910-09-27-7834,5100136474971488,7
1910-09-27-7834,5100136035476142,7
1910-09-27-7834,5100134820916307,1
1910-09-27-7834,5100134495803228,5
1910-09-27-7834,5100134458786071,2
1910-04-10-0032,5100178236803880,8
1910-04-10-0032,5100176843773819,0
1910-04-10-0032,5100174100138222,8
1910-04-10-0032,5100173919196082,1
1910-04-10-0032,5100172737751284,5
1910-04-10-0032,5100170292589040,5
1910-04-10-0032,5100147108134542,9
1910-04-10-0032,5100145287738802,7
1910-04-10-0032,5100143716855230,1
1910-04-10-0032,5100143509026924,2
1910-04-10-0032,5100136474971488,0
1910-04-10-0032,5100136435344635,3
1910-04-10-0032,5100136035476142,4
1910-04-10-0032,5100135736184724,8
1910-04-10-0032,5100134495803228,1
1910-04-10-0032,5100133759460212,4
1910-04-10-0032,5100133454026508,4
1910-04-10-0032,5100132678004333,8
1910-04-10-0032,5100130003850628,2
1908-01-02-0017,5100176059539193,10
1908-01-02-0017,5100175497684454,8
1908-01-02-0017,5100174290682393,8
1908-01-02-0017,5100174100138222,8
1908-01-02-0017,5100172538567152,5
1908-01-02-0017,5100149547934623,9
1908-01-02-0017,5100148070294587,7
1908-01-02-0017,5100144154178960,5
1908-01-02-0017,5100143716855230,4
1908-01-02-0017,5100143509026924,0
1908-01-02-0017,5100141101316677,4
1908-01-02-0017,5100140713963710,4
1908-01-02-0017,5100140553753288,5
1908-01-02-0017,5100136474971488,4
1908-01-02-0017,5100135736184724,6
1908-01-02-0017,5100133759460212,0
1908-01-02-0017,5100131591657011,3
1908-01-02-0017,5100130003850628,10
1905-09-20-0008,5100178236803880,6
1905-09-20-0008,5100177720106768,6
1905-09-20-0008,5100175854119409,1
1905-09-20-0008,5100175497684454,4
1905-09-20-0008,5100174100138222,1
1905-09-20-0008,5100173919196082,6
1905-09-20-0008,5100149547934623,1
1905-09-20-0008,5100144154178960,4
1905-09-20-0008,5100143342926116,10
